url,recipe_name,ingredient_raw,ingredient_key,quantity,unit
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,"1/2 teaspoon freshly ground black pepper, plus more for serving","freshly ground black pepper, plus more for serving",0.5,tsp
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,"1 (15-ounce; 425 g) can diced tomatoes, drained","(15-ounce; 425 g) can diced tomatoes, drained",1.0,
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,"2 (15-ounce; 425 g each) cans black-eyed peas, drained and rinsed","(15-ounce; 425 g each) cans black-eyed peas, drained and rinsed",2.0,
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,3 cups (720 ml) low-sodium vegetable broth,(720 ml) low-sodium vegetable broth,3.0,cup
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,"1 medium bunch Swiss Chard (10 ounces; 283 g), stemmed and chopped","medium bunch swiss chard (10 ounces; 283 g), stemmed and chopped",1.0,
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,"2 tablespoons (5 g) chopped fresh dill, plus more for serving","(5 g) chopped fresh dill, plus more for serving",2.0,tbsp
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,"2 tablespoons (30 ml) fresh lemon juice, from 1 medium lemonc","(30 ml) fresh lemon juice, from 1 medium lemonc",2.0,tbsp
https://www.seriouseats.com/black-eyed-pea-stew-recipe-11874544,Easy One-Pot Black-Eyed Pea Stew With Swiss Chard and Dill,1/4 cup (60 ml) plain whole-milk strained (Greek-style) yogurt,(60 ml) plain whole-milk strained (greek-style) yogurt,0.25,cup
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,2 tablespoons olive oil,olive oil,2.0,tbsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1 cup diced onions (about 1 medium),diced onions (about 1 medium),1.0,cup
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1/2 cup diced celery (about 2 stalks),diced celery (about 2 stalks),0.5,cup
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1/2 cup diced green bell pepper (about 1 medium),diced green bell pepper (about 1 medium),0.5,cup
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1 tablespoon minced garlic (about 3 medium cloves),minced garlic (about 3 medium cloves),1.0,tbsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1 (14 ounce) can diced tomatoes,(14 ounce) can diced tomatoes,1.0,
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,2 cups low-sodium store-bought or homemade chicken stock,low-sodium store-bought or homemade chicken stock,2.0,cup
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,"1 tablespoon Louisiana-style hot sauce (such as Frank&#39;s or Crystal), plus more to taste","louisiana-style hot sauce (such as frank&#39;s or crystal), plus more to taste",1.0,tbsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1 tablespoon Worcestershire sauce,worcestershire sauce,1.0,tbsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,2 bay leaves,bay leaves,2.0,
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1/4 teaspoon ground white pepper,ground white pepper,0.25,tsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1/4 teaspoon cayenne pepper,cayenne pepper,0.25,tsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1/2 teaspoon dried thyme leaves,dried thyme leaves,0.5,tsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,4 tablespoons butter,butter,4.0,tbsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,2 tablespoons finely chopped fresh parsley leaves,finely chopped fresh parsley leaves,2.0,tbsp
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,1/2 cup thinly sliced green onions,thinly sliced green onions,0.5,cup
https://www.seriouseats.com/creole-sauce-recipe,Creole Sauce,Kosher salt and freshly ground black pepper,kosher salt and freshly ground black pepper,0.0,
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,Pan with fond remaining after searing steaks,pan with fond remaining after searing steaks,0.0,
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,1 tablespoon olive oil,olive oil,1.0,tbsp
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,3 tablespoons finely chopped shallots,finely chopped shallots,3.0,tbsp
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,1 cup beef stock,beef stock,1.0,cup
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,1/2 cup heavy cream,heavy cream,0.5,cup
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,1/4 cup brandy,brandy,0.25,cup
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,2 tablespoons red wine,red wine,2.0,tbsp
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,"2 tablespoons green peppercorns in brine, drained","green peppercorns in brine, drained",2.0,tbsp
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,1/2 teaspoon chopped fresh thyme,chopped fresh thyme,0.5,tsp
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,"Kosher salt, to taste","kosher salt, to taste",0.0,
https://www.seriouseats.com/sauced-green-peppercorn-pan-sauce-recipe,Green Peppercorn Pan Sauce Recipe | Sauced,"Freshly ground black pepper, to taste","freshly ground black pepper, to taste",0.0,
https://www.seriouseats.com/the-martini-recipe,Classic Martini Cocktail,2 ounces dry gin,dry gin,2.0,ounces
https://www.seriouseats.com/the-martini-recipe,Classic Martini Cocktail,1 ounce dry vermouth,dry vermouth,1.0,ounce
https://www.seriouseats.com/the-martini-recipe,Classic Martini Cocktail,"1 dash orange bitters (optional, but highly recommended)","dash orange bitters (optional, but highly recommended)",1.0,
https://www.seriouseats.com/sous-vide-rack-of-lamb-recipe,Sous Vide Rack of Lamb Recipe,"2 (8-bone) racks of lamb, about 2 pounds (900g) total","(8-bone) racks of lamb, about 2 pounds (900g) total",2.0,
https://www.seriouseats.com/sous-vide-rack-of-lamb-recipe,Sous Vide Rack of Lamb Recipe,Kosher salt and freshly ground black pepper,kosher salt and freshly ground black pepper,0.0,
https://www.seriouseats.com/sous-vide-rack-of-lamb-recipe,Sous Vide Rack of Lamb Recipe,"Aromatics, such as fresh thyme or rosemary sprigs, sliced shallots, and sliced garlic (optional)","aromatics, such as fresh thyme or rosemary sprigs, sliced shallots, and sliced garlic (optional)",0.0,
https://www.seriouseats.com/sous-vide-rack-of-lamb-recipe,Sous Vide Rack of Lamb Recipe,"2 tablespoons (30ml) vegetable, canola, or rice bran oil","(30ml) vegetable, canola, or rice bran oil",2.0,tbsp
https://www.seriouseats.com/sous-vide-rack-of-lamb-recipe,Sous Vide Rack of Lamb Recipe,2 tablespoons (30g) unsalted butter,(30g) unsalted butter,2.0,tbsp
https://www.seriouseats.com/classic-smashed-burgers-recipe,Classic Smashed Burgers,1/2 teaspoon vegetable oil,vegetable oil,0.5,tsp
https://www.seriouseats.com/classic-smashed-burgers-recipe,Classic Smashed Burgers,"16 to 20 ounces (455g to 570g) ground beef, divided into four 4-ounce portions (see note)","to 20 ounces (455g to 570g) ground beef, divided into four 4-ounce portions (see note)",16.0,
https://www.seriouseats.com/classic-smashed-burgers-recipe,Classic Smashed Burgers,Kosher salt and freshly ground black pepper,kosher salt and freshly ground black pepper,0.0,
https://www.seriouseats.com/classic-smashed-burgers-recipe,Classic Smashed Burgers,Cheese slices (if desired),cheese slices (if desired),0.0,
https://www.seriouseats.com/classic-smashed-burgers-recipe,Classic Smashed Burgers,Four toasted burger buns,four toasted burger buns,0.0,
https://www.seriouseats.com/classic-smashed-burgers-recipe,Classic Smashed Burgers,"Toppings and condiments, as desired","toppings and condiments, as desired",0.0,
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,"4 bone-in, skin-on chicken thighs","bone-in, skin-on chicken thighs",4.0,
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,Kosher salt and freshly ground black pepper,kosher salt and freshly ground black pepper,0.0,
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,4 sprigs thyme or rosemary (optional),sprigs thyme or rosemary (optional),4.0,
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,"1 tablespoon canola, vegetable, or grapeseed oil","canola, vegetable, or grapeseed oil",1.0,tbsp
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,"1 small shallot, minced","small shallot, minced",1.0,
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,1 cup dry white wine,dry white wine,1.0,cup
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,1 tablespoon whole-grain mustard,whole-grain mustard,1.0,tbsp
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,2 tablespoons unsalted butter,unsalted butter,2.0,tbsp
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,1/2 teaspoon fresh juice from 1 lemon,fresh juice from 1 lemon,0.5,tsp
https://www.seriouseats.com/crispy-sous-vide-chicken-thigh-recipe,Crispy Sous Vide Chicken Thighs With Mustard-Wine Pan Sauce Recipe,1 tablespoon minced fresh parsley leaves,minced fresh parsley leaves,1.0,tbsp
